n,p,k,blockNum,effectSizeScale,noiseScale,distanceNoiseScale,distanceReshufflePercentage,mode_regressionModel,seed,p_mse, p_auc, b_mse, b_auc, ars
100.0,50.0,5.0,10.0,1.0,0.1,0.0,0.0,0.0,1.0,0.324,0.5473555555555556,0.8016698187933322,0.5554222222222223,0.8888888888888888,
100.0,50.0,5.0,10.0,1.0,0.1,0.0,0.0,0.0,2.0,0.14,0.5745111111111112,0.7056704614553407,0.5593777777777778,0.8888888888888888,
100.0,50.0,5.0,10.0,1.0,0.1,0.0,0.0,1.0,1.0,nan,nan,1.4530207703972011,0.5084888888888889,0.8888888888888888,
100.0,50.0,5.0,10.0,1.0,0.1,0.0,0.0,1.0,2.0,nan,nan,1.4850331504915142,0.4799555555555556,0.8888888888888888,
100.0,50.0,5.0,10.0,1.0,0.1,0.0,0.5,0.0,1.0,0.4424,0.502514888888889,0.7199796641149517,0.5134831111111111,0.03411633109619687,
100.0,50.0,5.0,10.0,1.0,0.1,0.0,0.5,0.0,2.0,0.1144,0.5017784444444444,0.5934253799015675,0.5247002222222222,0.07977718094101263,
100.0,50.0,5.0,10.0,1.0,0.1,0.0,0.5,0.0,3.0,0.5861999999999999,0.49038400000000004,0.7606288765813112,0.5053493333333333,0.03115638106650689,
100.0,50.0,5.0,10.0,1.0,0.1,0.0,0.5,1.0,1.0,nan,nan,1.5044203613450011,0.49942155555555556,0.8888888888888888,
100.0,50.0,5.0,10.0,1.0,0.1,0.0,0.5,1.0,3.0,nan,nan,1.9071669834123164,0.5177475555555555,0.8888888888888888,
100.0,50.0,5.0,10.0,1.0,0.1,0.0,1.0,0.0,1.0,0.5236000000000001,0.5095022222222222,0.6704161703876597,0.5288911111111111,0.007555555555555556,
100.0,50.0,5.0,10.0,1.0,0.1,0.0,1.0,1.0,1.0,nan,nan,1.4763930813599573,0.5041533333333335,0.8888888888888888,
100.0,50.0,5.0,10.0,1.0,0.1,0.0,1.0,1.0,2.0,nan,nan,1.5850288723870574,0.47182,0.8888888888888888,
100.0,50.0,5.0,10.0,1.0,0.1,0.0,1.0,1.0,3.0,nan,nan,1.8614759699240477,0.5151133333333333,0.8888888888888888,
100.0,50.0,5.0,10.0,1.0,0.1,0.1,0.0,0.0,1.0,0.32780000000000004,0.5492853333333334,0.7920435978989261,0.5572971111111111,0.858085808580858,
100.0,50.0,5.0,10.0,1.0,0.1,0.1,0.0,0.0,2.0,0.1418,0.574872,0.7051471798028952,0.5604942222222222,0.8888888888888888,
100.0,50.0,5.0,10.0,1.0,0.1,0.1,0.0,0.0,3.0,0.3514,0.5665753333333333,0.7418578466320501,0.5600335555555556,0.7220910918786607,
100.0,50.0,5.0,10.0,1.0,0.1,0.1,0.0,1.0,1.0,nan,nan,1.4533570169610268,0.5110424444444444,0.8888888888888888,
100.0,50.0,5.0,10.0,1.0,0.1,0.1,0.5,0.0,2.0,0.1216,0.4981495555555555,0.6732918309401856,0.5063657777777778,0.08228186893018276,
100.0,50.0,5.0,10.0,1.0,0.1,0.1,0.5,1.0,1.0,nan,nan,1.503264685174254,0.5018584444444445,0.8888888888888888,
100.0,50.0,5.0,10.0,1.0,0.1,0.1,0.5,1.0,2.0,nan,nan,1.6104095584768172,0.474708,0.8888888888888888,
100.0,50.0,5.0,10.0,1.0,0.1,0.1,0.5,1.0,3.0,nan,nan,1.850915478376014,0.517242,0.8888888888888888,
100.0,50.0,5.0,10.0,1.0,0.1,0.1,1.0,1.0,1.0,nan,nan,1.482942181579017,0.4990577777777778,0.8888888888888888,
100.0,50.0,5.0,10.0,1.0,0.1,0.1,1.0,1.0,2.0,nan,nan,1.5547709266278418,0.4706151111111111,0.8888888888888888,
100.0,50.0,5.0,10.0,1.0,0.1,0.1,1.0,1.0,3.0,nan,nan,1.8948487238262188,0.5142537777777777,0.8888888888888888,
100.0,50.0,5.0,10.0,1.0,0.1,1.0,0.0,0.0,1.0,0.2956,0.5365695555555555,0.7463779306871249,0.5435380000000001,0.1474343134832386,
100.0,50.0,5.0,10.0,1.0,0.1,1.0,0.0,0.0,3.0,0.4318,0.5132297777777777,0.9492987525122188,0.5250473333333334,0.1339421613394216,
100.0,50.0,5.0,10.0,1.0,0.1,1.0,0.0,1.0,1.0,nan,nan,1.4881074961529328,0.5058426666666667,0.8888888888888888,
100.0,50.0,5.0,10.0,1.0,0.1,1.0,0.0,1.0,2.0,nan,nan,1.4969861317561017,0.4699904444444445,0.8888888888888888,
100.0,50.0,5.0,10.0,1.0,0.1,1.0,0.0,1.0,3.0,nan,nan,1.8531118931718114,0.5247191111111111,0.8888888888888888,
100.0,50.0,5.0,10.0,1.0,0.1,1.0,0.5,0.0,1.0,0.5097999999999999,0.5131497777777777,0.6508166352393069,0.5291411111111111,0.015176151761517615,
100.0,50.0,5.0,10.0,1.0,0.1,1.0,0.5,0.0,2.0,0.1192,0.5155462222222222,0.6192649487396461,0.517382,0.006318607764390897,
100.0,50.0,5.0,10.0,1.0,0.1,1.0,0.5,0.0,3.0,0.2564,0.5240744444444445,1.196553764824082,0.5251784444444445,0.059558117195004805,
100.0,50.0,5.0,10.0,1.0,0.1,1.0,0.5,1.0,1.0,nan,nan,1.5062230002837171,0.49419555555555555,0.8888888888888888,
100.0,50.0,5.0,10.0,1.0,0.1,1.0,0.5,1.0,2.0,nan,nan,1.5635286711002738,0.4759753333333333,0.8888888888888888,
